id	text
S1	COUNTRY KITCHEN HAMBURGER BUNS 8CT
S2	LA BUNTING 8 WHOLE WHEAT TORT 10CT
S3	LA BUNTING 8 WHOLE WHEAT TORT 10CT
S4	GREAT VALUE HAMBURGER BUNS
S5	GREAT VALUE HAMBURGER BUNS
S6	GREAT VALUE HAMBURGER BUNS
S7	GREAT VALUE HAMBURGER BUNS
S8	GREAT VALUE HAMBURGER BUNS
S9	GREAT VALUE HAMBURGER BUNS
S10	COUNTRY KITCHEN HAMBURGER BUNS 8CT
S11	NY DELI STYLE MARBLE RYE BREAD
S12	COUNTRY HEARTH 100 WHOLE WHEAT BREAD
S13	COUNTRY HEARTH 100 WHOLE WHEAT BREAD
S14	HOLSUM HOT DOG ROLLS 8 S
S15	CARROT CAKES SLICED
S16	QUALITY 10CT FLOUR BURRITO TORTILLA
S17	COUNTRY KITCHEN HAMBURGER BUNS 8CT
S18	OLD TYME TEXAS TOAST
S19	COUNTRY KITCHEN HAMBURGER BUNS 8CT
S20	COUNTRY KITCHEN HAMBURGER BUNS
S21	COUNTRY KITCHEN HAMBURGER BUNS 8CT
S22	PLAIN BAGEL
S23	PLAIN BAGEL
S24	10IN FLOUR TORTILLA
S25	PAIELLI S WHITE SLICED
S26	COUNTRY WHITE STONE MILL BREAD
S27	OLD TYME HAMBURGER ROLLS 12 S
S28	HOLSUM COUNTRY STYLE WHITE BREAD
S29	CINNAMON RAISIN BAGELS
S30	HOLSUM HOT DOG ROLLS 8 S
S31	HOLSUM HOT DOG ROLLS 8 S
S32	OLD TYME HAMBURGER ROLLS 12 S
S33	PAIELLI S HOTDOG BUNS
S34	MARKETSIDE BRIOCHE PRES SLICED HOT DOG
S35	SWB GIANT WHITE BREAD
S36	SWB GIANT WHITE BREAD
S37	COUNTRY HEARTH 100 WHOLE WHEAT BREAD
S38	SWB S HAMBURGER BUNS
S39	HOLSUM COUNTRY STYLE WHITE BREAD
S40	GV 10 FLOUR TORT 8CT
S41	KRUSTEAZ GLUTEN FREE BLUEBERRY MUFFIN
S42	KRUSTEAZ GLUTEN FREE BLUEBERRY MUFFIN
S43	CARROT CAKES SLICED
S44	GREAT GRAINS PREMIUM 100 WHEAT
S45	MARKETSIDE BRIOCHE PRES SLICED HOT DOG
S46	QUALITY 10CT FLOUR BURRITO TORTILLA
S47	SUNBEAM TEXAS TOAST
S48	GV 10 FLOUR TORT 8CT
S49	MRS DUNSTER S SUGAR CRESCENTS
S50	MISSION 90CT 6 CORN TORT
S51	GREAT VALUE 100 WHOLE WHEAT BREAD
S52	HOLSUM COUNTRY STYLE WHITE BREAD
S53	AM DELUXE HAMBURGER BUNS
S54	HOLSUM HOT DOG ROLLS 8 S
S55	ENT MINI CAKE CRUMBS
S56	COLONIAL SESAME HAMBURGER BUNS
S57	GV 10 FLOUR TORT 8CT
S58	MARKETSIDE BRIOCHE PRES SLICED HOT DOG
S59	MARKETSIDE BRIOCHE PRES SLICED HOT DOG
S60	MARKETSIDE BRIOCHE PRES SLICED HOT DOG
S61	MARKETSIDE BRIOCHE PRES SLICED HOT DOG
S62	MARKETSIDE BRIOCHE PRES SLICED HOT DOG
S63	MARKETSIDE BRIOCHE PRES SLICED HOT DOG
S64	NY DELI STYLE RUSSIAN RYE BREAD
S65	HOLSUM HOT DOG ROLLS 8 S
S66	SUNBEAM KING SANDWICH BREAD
S67	GV 10 FLOUR TORT 8CT
S68	GV 10 FLOUR TORT 8CT
S69	THYME BAGELS 100 WHOLE WHEAT
S70	THYME BAGELS 100 WHOLE WHEAT
S71	THYME BAGELS 100 WHOLE WHEAT
S72	THYME BAGELS 100 WHOLE WHEAT
S73	VILLAGE HEARTH PLAIN ENGLISH MUFFIN
S74	MARKETSIDE BRIOCHE PRES SLICED HOT DOG
S75	SWB S TALIANO WHEAT BREAD
S76	ROTELLAS S WHOLE WT MULTIGRAIN BREAD
S77	MRS DUNSTER S SUGAR NUGGETS
S78	ENTENMANNS FUDGE ICED CAKE
S79	ENTENMANNS FUDGE ICED CAKE
S80	ENTENMANNS FUDGE ICED CAKE
S81	ATIE S WHITE PITA
S82	GREAT VALUE 100 STONEGROUND WHEAT BREAD
S83	GREAT VALUE 100 STONEGROUND WHEAT BREAD
S84	EVANGINEMA 8 4 1 8 CL HAMBURGER BUNS 12
S85	EVANGINEMA 8 4 1 8 CL HAMBURGER BUNS 12
S86	EVANGINEMA 8 4 1 8 CL HAMBURGER BUNS 12
S87	MISSION 90CT 6 CORN TORT
S88	MISSION 90CT 6 CORN TORT
S89	MISSION 90CT 6 CORN TORT
S90	PREMIUM WHITE
S91	PREMIUM WHITE
S92	PREMIUM WHITE
S93	AM DELUXE HAMBURGER BUNS
S94	COUNTRY KITCHEN HAMBURGER BUNS
S95	COUNTRY KITCHEN HAMBURGER BUNS
S96	VALUE WHITE BREAD
S97	MARKETSIDE BRIOCHE PRES SLICED HOT DOG
S98	VILLAGE HEARTH WHEAT ENGLISH MUFFIN
S99	ENTENMANNS BROWNIE CHOC CHIPS MINI CAKE
S100	ATIE S WHITE PITA
